Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-01-14,Criterion Collection,"Criterion, Criterion Collection, the criterion collection, criterioncollection, thecriterioncollection",https://boxd.it/RIIlI,

Position,Name,Year,URL,Description
1,Grand Illusion,1937,https://boxd.it/29Ei,
2,Seven Samurai,1954,https://boxd.it/2axi,
3,The Lady Vanishes,1938,https://boxd.it/29ea,
4,Amarcord,1973,https://boxd.it/20NA,
5,The 400 Blows,1959,https://boxd.it/2b1C,
6,Beauty and the Beast,1946,https://boxd.it/29UA,
7,A Night to Remember,1958,https://boxd.it/1UXE,
8,The Killer,1989,https://boxd.it/1Vha,
9,Hard Boiled,1992,https://boxd.it/1T6a,
10,Walkabout,1971,https://boxd.it/1bsG,
11,The Seventh Seal,1957,https://boxd.it/2ahO,
12,This Is Spinal Tap,1984,https://boxd.it/1UOs,
13,The Silence of the Lambs,1991,https://boxd.it/2aHW,
14,Samurai I: Musashi Miyamoto,1954,https://boxd.it/1jfg,
15,Samurai II: Duel at Ichijoji Temple,1955,https://boxd.it/1jf6,
16,Samurai III: Duel at Ganryu Island,1956,https://boxd.it/1jeM,
17,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s,
18,The Naked Kiss,1964,https://boxd.it/1uBW,
19,Shock Corridor,1963,https://boxd.it/1vGI,
20,Sid and Nancy,1986,https://boxd.it/1N6e,
21,Dead Ringers,1988,https://boxd.it/1Yqk,
22,Summertime,1955,https://boxd.it/DPw,
23,RoboCop,1987,https://boxd.it/22Wu,
24,High and Low,1963,https://boxd.it/1RSc,
25,Alphaville,1965,https://boxd.it/20AG,
26,The Long Good Friday,1980,https://boxd.it/1NlS,
27,Flesh for Frankenstein,1973,https://boxd.it/25Sg,
28,Blood for Dracula,1974,https://boxd.it/1uNe,
29,Picnic at Hanging Rock,1975,https://boxd.it/1UQe,
30,M,1931,https://boxd.it/29vq,
31,Great Expectations,1946,https://boxd.it/1OjS,
32,Oliver Twist,1948,https://boxd.it/1V0e,
33,Nanook of the North,1922,https://boxd.it/29Rc,
34,Andrei Rublev,1966,https://boxd.it/29lg,
35,Diabolique,1955,https://boxd.it/29we,
36,The Wages of Fear,1953,https://boxd.it/2aSK,
37,Time Bandits,1981,https://boxd.it/19KI,
38,Branded to Kill,1967,https://boxd.it/1HSQ,
39,Tokyo Drifter,1966,https://boxd.it/OTY,
40,Armageddon,1998,https://boxd.it/2b9Q,
41,Henry V,1944,https://boxd.it/1Agq,
42,Fishing with John,1991,https://boxd.it/gtsu,
43,Lord of the Flies,1963,https://boxd.it/1Xqy,
44,The Red Shoes,1948,https://boxd.it/1EXI,
45,Taste of Cherry,1997,https://boxd.it/1m8W,
46,The Most Dangerous Game,1932,https://boxd.it/27Gc,
47,Insomnia,1997,https://boxd.it/1txk,
48,Black Orpheus,1959,https://boxd.it/11PU,
49,Nights of Cabiria,1957,https://boxd.it/1F7e,
50,And the Ship Sails On,1983,https://boxd.it/22RO,
51,Brazil,1985,https://boxd.it/2be2,
52,Yojimbo,1961,https://boxd.it/1SRY,
53,Sanjuro,1962,https://boxd.it/1TaQ,
54,For All Mankind,1989,https://boxd.it/1Dvy,
55,The Unbearable Lightness of Being,1988,https://boxd.it/1VKc,
56,The 39 Steps,1935,https://boxd.it/2aKc,
57,Charade,1963,https://boxd.it/23O2,
58,Peeping Tom,1960,https://boxd.it/1Utk,
59,The Night Porter,1974,https://boxd.it/1tsk,
60,Autumn Sonata,1978,https://boxd.it/1Rio,
61,Life of Brian,1979,https://boxd.it/2a4q,
62,The Passion of Joan of Arc,1928,https://boxd.it/29DO,
63,Carnival of Souls,1962,https://boxd.it/1KQ4,
64,The Third Man,1949,https://boxd.it/294E,
65,Rushmore,1998,https://boxd.it/1TAO,
66,Wayne's World,1992,https://boxd.it/1ZHG,
67,The Blood of a Poet,1932,https://boxd.it/19Bw,
68,Orpheus,1950,https://boxd.it/247o,
69,Testament of Orpheus,1960,https://boxd.it/19Bm,
70,The Last Temptation of Christ,1988,https://boxd.it/1ULe,
71,The Magic Flute,1975,https://boxd.it/QUa,
72,Le Million,1931,https://boxd.it/1hha,
