Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-04-12,22 Jump Street,2014,https://boxd.it/9nUb0n,3.5,,"2010s, theater",2014-06-12
2025-04-12,22 Jump Street,2014,https://boxd.it/9nUbmX,3.5,Yes,theater,2014-06-14
2025-04-12,The Truman Show,1998,https://boxd.it/9nTDlh,4.5,,90s,2016-09-01
2025-04-12,Vice,2018,https://boxd.it/9nU8oV,3.5,,"2010s, good acting, w/ dad, i love my dad, theater",2018-12-27
2025-04-12,Avengers: Endgame,2019,https://boxd.it/9nU5SX,3,,"2010s, w/ dad, w/ henry, w/ mom, w/ emily, theater",2019-04-28
2025-04-12,HOMECOMING: A film by Beyoncé,2019,https://boxd.it/9nTAPj,,,"2010s, so much fun, nostalgic <3",2019-10-01
2025-04-12,Little Women,2019,https://boxd.it/9nU4bN,5,,"2010s, female director, female writer, beautiful, good acting, good dialogue, incredible performance, nostalgic <3, feeling seen, good for her, something wellesley this way comes, halloween vibes, best costume design winner, theater",2020-01-22
2025-04-12,Spider-Man: No Way Home,2021,https://boxd.it/9nU1If,3,,"2020s, theater",2021-12-31
2025-04-12,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/9nU0OB,2.5,,"2020s, theater",2022-05-08
2025-04-12,Top Gun: Maverick,2022,https://boxd.it/9nTZGL,4,,"2020s, w/ mom, w/ dad, w/ emily, w/ henry, good cinematography, good soundtrack, nostalgic <3, theater",2022-06-12
2025-04-12,Barbie,2023,https://boxd.it/9nTWll,4,,"2020s, w/ emily, w/ henry, good styling, so much fun, beautiful, female writer, female director, good soundtrack, hey that's the name of the movie, something wellesley this way comes, theater",2023-07-19
2025-04-12,Barbie,2023,https://boxd.it/9nTXaX,4,Yes,"w/ dad, theater",2023-07-31
2025-08-03,Oppenheimer,2023,https://boxd.it/aAq1Pv,4.5,,"2020s, best picture winner, best director winner, best actor winner, best supporting actor winner, best cinematography winner, best score winner, best editing winner, good cinematography, beautiful, good acting, incredible performance, w/ dad, w/ henry, w/ garrett, 70 mm, theater, alamo drafthouse",2023-08-13
2025-04-12,Napoleon,2023,https://boxd.it/9nTHER,3,,"2020s, w/ dad, alamo drafthouse, theater",2023-11-25
2025-04-12,Poor Things,2023,https://boxd.it/9nTFSH,4.5,,"2020s, smoke a j first, incredible performance, best actress winner, w/ emily r, alamo drafthouse, good styling, good acting, beautiful, best costume design winner, theater, best makeup/hair styling winner",2023-12-22
2023-12-27,Easy A,2010,https://boxd.it/5puE1N,4,,"good styling, good dialogue, so much fun, good soundtrack, nostalgic <3",2023-12-26
2025-04-12,Twilight,2008,https://boxd.it/9nTL99,3.5,,"2000s, w/ mom, w/ emily, alamo drafthouse, '05 - '15",2023-12-27
2024-01-04,Bottoms,2023,https://boxd.it/5urWPF,5,Yes,"w/ emily r, good dialogue, good styling, so much fun, good soundtrack, feeling seen, good score, female director, something wellesley this way comes, female writer",2024-01-01
2025-04-12,Dune: Part Two,2024,https://boxd.it/9nTTLl,5,,"2020s, imax, metreon, w/ mom, w/ dad, w/ emily, w/ henry, good styling, good acting, beautiful, good cinematography, smoke a j first, good score, theater, best sound winner",2024-03-02
2025-04-12,Monty Python and the Holy Grail,1975,https://boxd.it/9nTMPP,4,,"70s, w/ mom, w/ dad, w/ emily, w/ henry, alamo drafthouse, smoke a j first",2024-03-22
2025-04-12,The Twilight Saga: Breaking Dawn – Part 1,2011,https://boxd.it/9nTNUr,3,,"2010s, w/ mom, alamo drafthouse, theater",2024-04-10
2024-10-16,Uglies,2024,https://boxd.it/7zatRp,0.5,,,2024-09-13
2024-10-16,Batman,1989,https://boxd.it/7zatsf,3.5,,"w/ dad, smoke a j first, so much fun, 80s, camp, '85 - '95, best production design winner",2024-09-25
2024-10-16,Batman Returns,1992,https://boxd.it/7zatbj,2.5,,"w/ dad, 90s, camp, so much fun, smoke a j first, '85 - '95",2024-09-27
