Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-09-01,20 Favorite First Watches of 2025,"yir2025, profile",https://boxd.it/OgKmK,Lightly ranked.

Position,Name,Year,URL,Description
1,Mulholland Drive,2001,https://boxd.it/297o,
2,Do the Right Thing,1989,https://boxd.it/29gA,
3,The Red Shoes,1948,https://boxd.it/1EXI,
4,Sentimental Value,2025,https://boxd.it/GwcG,
5,Cléo from 5 to 7,1962,https://boxd.it/2agm,
6,Holy Motors,2012,https://boxd.it/3wai,
7,Speed Racer,2008,https://boxd.it/20UQ,
8,Sexy Beast,2000,https://boxd.it/1SZS,
9,All About Eve,1950,https://boxd.it/29LI,
10,In Bruges,2008,https://boxd.it/20n8,
11,Fargo,1996,https://boxd.it/2aHM,
12,Zola,2020,https://boxd.it/jEWQ,
13,Chicago,2002,https://boxd.it/28zm,
14,Marie Antoinette,2006,https://boxd.it/27Wa,
15,All That Jazz,1979,https://boxd.it/1JB8,
16,House,1977,https://boxd.it/1vsm,
17,Beau Travail,1999,https://boxd.it/1NI8,
18,La Haine,1995,https://boxd.it/2as8,
19,Women on the Verge of a Nervous Breakdown,1988,https://boxd.it/24GI,
20,Dog Day Afternoon,1975,https://boxd.it/29bg,
