Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-12-27,Easy A,2010,https://boxd.it/5puE1N,4,,This movie is so good that when you ask me who Penn Badgley is I say “Woodchuck Todd” instead of “Dan Humphrey” or “G***** G***” or “the guy from You”,"good styling, good dialogue, so much fun, good soundtrack, nostalgic <3",2023-12-26
2024-01-04,Bottoms,2023,https://boxd.it/5urWPF,5,Yes,Just as good on my third watch. Marshawn Lynch is still a standout. Not sure how everyone managed to capture the exact notes of my high school experience. Get out of my head!!,"w/ emily r, good dialogue, good styling, so much fun, good soundtrack, feeling seen, good score, female director, something wellesley this way comes, female writer",2024-01-01
2024-10-27,The Cabin in the Woods,2011,https://boxd.it/7EGRlh,3.5,,Dana and Jules exclusively wore ballet flats; perfect costuming.,"so much fun, smoke a j first, good styling, 2010s, directorial debut, gay halloween, camp, cunt classic, halloween vibes",2024-10-26
2024-11-05,Kath & Kimderella,2012,https://boxd.it/7JCoZz,3,,"Nah, you’ll get ‘Farc’ for short!","2010s, so much fun, !american",2024-11-04
2024-11-07,Madame Web,2024,https://boxd.it/7Ks8GP,0.5,,Does Cassie canonically have autism,"female director, so much fun, 2020s, camp, nyc",2024-11-06
2024-11-08,Jennifer's Body,2009,https://boxd.it/7KSLyH,4.5,,"This evokes the same feeling I had the first time I heard Lorde’s verse on <i>girl, so confusing</i>","so much fun, good styling, good dialogue, beautiful, good acting, good soundtrack, they matched each other's freak, 2000s, halloween vibes, gay halloween, feeling seen, good for her, female director, something wellesley this way comes, '05 - '15, fabulous title card",2024-11-07
2024-11-12,Pitch Perfect,2012,https://boxd.it/7N7Q7T,4,Yes,The steady cam and hair/makeup/wardrobe and soundtrack make this Cinema,"w/ hunter, 2010s, female writer, so much fun, good styling",2024-11-11
2024-11-16,Easy A,2010,https://boxd.it/7OSQcx,4,Yes,It’s only now that I can see why my dad says that Olive and I are very similar.,2010s,2024-11-15
2024-11-29,Bodies Bodies Bodies,2022,https://boxd.it/7VqPs7,4.5,Yes,"Dad asked if we were going to watch that Rachel Sennott movie, <i>Bottoms Bottoms Bottoms</i>","w/ dad, w/ mom, w/ emily, a24, good dialogue, so much fun, good soundtrack, 2020s, female director, female writer, profile",2024-11-27
2024-12-14,Super Dark Times,2017,https://boxd.it/82EXdP,4,,watched on the weirdest date I have ever had in my entire life,"good acting, halloween vibes, needs a rewatch, 2010s, woad",2024-12-12
2024-12-23,Uglies,2024,https://boxd.it/87NZ65,1.5,Yes,Can someone lmk if we were supposed to see sexual tension between Tally and Shay or if they were just roommates,"w/ olivia, w/ briana, 2020s, camp, boots the house diva fierciosity",2024-12-22
2024-12-27,Da Kath & Kim Code,2005,https://boxd.it/8brs7V,4,Yes,A Christmas classic,"2000s, so much fun, smoke a j first, !american, '05 - '15, '95 - '05",2024-12-25
2025-01-03,Trap,2024,https://boxd.it/8i1qm1,3.5,,Cooper’s worst crime was not filming his daughter being the Dreamer Girl!!!!! What the hell!!!,"2020s, so much fun, smoke a j first, good cinematography, halloween vibes, i love my dad, that's a girldad, one day",2025-01-02
