Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-01-29,"Roger Ebert's ""Great Movies""",,https://boxd.it/Sbzu0,"Every film from Roger Ebert's ""Great Movies"" essays."

Position,Name,Year,URL,Description
1,12 Angry Men,1957,https://boxd.it/2auI,
2,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
3,25th Hour,2002,https://boxd.it/28LC,
4,3 Women,1977,https://boxd.it/YPs,
5,8½,1963,https://boxd.it/2aqm,
6,Ace in the Hole,1951,https://boxd.it/1vXk,
7,Adaptation.,2002,https://boxd.it/26mA,
8,The Adventures of Robin Hood,1938,https://boxd.it/1V6G,
9,"After Dark, My Sweet",1990,https://boxd.it/1vHc,
10,After Hours,1985,https://boxd.it/1VfS,
11,The Age of Innocence,1993,https://boxd.it/1WgM,
12,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe,
13,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve,
14,Ali: Fear Eats the Soul,1974,https://boxd.it/2aRi,
15,Alien,1979,https://boxd.it/2awY,
16,All About Eve,1950,https://boxd.it/29LI,
17,Amadeus,1984,https://boxd.it/2aH8,
18,Amarcord,1973,https://boxd.it/20NA,
19,Annie Hall,1977,https://boxd.it/29M2,
20,The Apartment,1960,https://boxd.it/2aGE,
21,Apocalypse Now,1979,https://boxd.it/6ZS,
22,Pather Panchali,1955,https://boxd.it/22yC,
23,Aparajito,1956,https://boxd.it/29kW,
24,Apur Sansar,1959,https://boxd.it/29l6,
25,Army of Shadows,1969,https://boxd.it/1Mli,
26,Atlantic City,1980,https://boxd.it/1yCa,
27,Au Hasard Balthazar,1966,https://boxd.it/1E3g,
28,Au Revoir les Enfants,1987,https://boxd.it/288U,
29,An Autumn Afternoon,1962,https://boxd.it/CUU,
30,Babel,2006,https://boxd.it/292o,
31,Badlands,1973,https://boxd.it/25Fm,
32,The Ballad of Narayama,1958,https://boxd.it/3SPW,
33,The Band Wagon,1953,https://boxd.it/1nCI,
34,The Bank Dick,1940,https://boxd.it/29iG,
35,Baraka,1992,https://boxd.it/1OWA,
36,Barry Lyndon,1975,https://boxd.it/25A2,
37,The Battle of Algiers,1966,https://boxd.it/1IRY,
38,Battleship Potemkin,1925,https://boxd.it/29Vo,
39,Beat the Devil,1953,https://boxd.it/1A8w,
40,Beauty and the Beast,1946,https://boxd.it/29UA,
41,Being There,1979,https://boxd.it/1WxS,
42,Belle de Jour,1967,https://boxd.it/29Uq,
43,La Belle Noiseuse,1991,https://boxd.it/1RxI,
44,The Best Years of Our Lives,1946,https://boxd.it/29my,
45,Bicycle Thieves,1948,https://boxd.it/23hW,
46,The Big Heat,1953,https://boxd.it/1NNM,
47,The Big Lebowski,1998,https://boxd.it/2b6C,
48,The Big Red One,1980,https://boxd.it/1KMm,
49,The Big Sleep,1946,https://boxd.it/29iQ,
50,The Birth of a Nation,1915,https://boxd.it/29Zg,
51,Blade Runner,1982,https://boxd.it/2bcA,
52,Blow-Up,1966,https://boxd.it/2966,
53,The Blue Kite,1993,https://boxd.it/SE4,
54,Bob le Flambeur,1956,https://boxd.it/1uC6,
55,Body Heat,1981,https://boxd.it/1O9S,
56,Bonnie and Clyde,1967,https://boxd.it/2ajg,
57,Breathless,1960,https://boxd.it/2aIK,
58,Bride of Frankenstein,1935,https://boxd.it/2aPc,
59,The Bridge on the River Kwai,1957,https://boxd.it/29wo,
60,Bring Me the Head of Alfredo Garcia,1974,https://boxd.it/1SIs,
61,Broken Blossoms,1919,https://boxd.it/29kC,
62,The Butcher,1970,https://boxd.it/266C,
63,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo,
64,Cabiria,1914,https://boxd.it/23ig,
65,Caché,2005,https://boxd.it/2amY,
66,Casablanca,1942,https://boxd.it/2aG0,
67,Cat People,1942,https://boxd.it/1vG4,
68,La Cérémonie,1995,https://boxd.it/287C,
69,Un Chien Andalou,1929,https://boxd.it/29Y8,
70,Children of Paradise,1945,https://boxd.it/26H4,
71,Chimes at Midnight,1965,https://boxd.it/299k,
72,Chinatown,1974,https://boxd.it/29vU,
73,Chop Shop,2007,https://boxd.it/1LZQ,
74,A Christmas Story,1983,https://boxd.it/29sw,
75,The Circus,1928,https://boxd.it/1orm,
76,Citizen Kane,1941,https://boxd.it/71O,
77,City Lights,1931,https://boxd.it/29ki,
78,Cléo from 5 to 7,1962,https://boxd.it/2agm,
79,La Collectionneuse,1967,https://boxd.it/23Ls,
80,The Color Purple,1985,https://boxd.it/29oO,
81,Come and See,1985,https://boxd.it/1w9q,
82,Contact,1997,https://boxd.it/29OM,
83,The Conversation,1974,https://boxd.it/2a38,
84,Cool Hand Luke,1967,https://boxd.it/29jY,
85,Cries and Whispers,1972,https://boxd.it/1WK8,
86,Crimes and Misdemeanors,1989,https://boxd.it/1Ty4,
87,Crumb,1994,https://boxd.it/1tDi,
88,Dark City,1998,https://boxd.it/26uk,
89,Day for Night,1973,https://boxd.it/28kG,
90,Days of Heaven,1978,https://boxd.it/1JRg,
91,The Dead,1987,https://boxd.it/13vC,
92,Dekalog,1989,https://boxd.it/bv4u,
93,Departures,2008,https://boxd.it/1JFa,
94,Detour,1945,https://boxd.it/1DB2,
95,Diary of a Country Priest,1951,https://boxd.it/UDC,
96,Diary of a Lost Girl,1929,https://boxd.it/WoO,
97,The Discreet Charm of the Bourgeoisie,1972,https://boxd.it/2440,
98,Diva,1981,https://boxd.it/24fW,
99,Do the Right Thing,1989,https://boxd.it/29gA,
100,Dog Day Afternoon,1975,https://boxd.it/29bg,
101,Don't Look Now,1973,https://boxd.it/29fC,
102,Double Indemnity,1944,https://boxd.it/297I,
103,The Double Life of Véronique,1991,https://boxd.it/28va,
104,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
105,Dracula,1931,https://boxd.it/2b34,
106,Duck Soup,1933,https://boxd.it/25PG,
107,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,
108,The Earrings of Madame de...,1953,https://boxd.it/2lom,
109,Easy Rider,1969,https://boxd.it/29Ys,
110,El Norte,1983,https://boxd.it/1IGm,
111,El Topo,1970,https://boxd.it/1QYS,
112,The Enigma of Kaspar Hauser,1974,https://boxd.it/1Tba,
113,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
114,Exotica,1994,https://boxd.it/1DXW,
115,The Exterminating Angel,1962,https://boxd.it/1nRS,
116,The Fall of the House of Usher,1928,https://boxd.it/1q2o,
117,Fanny and Alexander,1982,https://boxd.it/22go,
118,Fargo,1996,https://boxd.it/2aHM,
119,Faust,1926,https://boxd.it/1Vxi,
120,The Firemen's Ball,1967,https://boxd.it/15Yc,
121,Fitzcarraldo,1982,https://boxd.it/1YV8,
122,Five Easy Pieces,1970,https://boxd.it/1tww,
123,Floating Weeds,1959,https://boxd.it/LZu,
124,Forbidden Games,1952,https://boxd.it/23ty,
125,The 400 Blows,1959,https://boxd.it/2b1C,
126,French Cancan,1955,https://boxd.it/Q4y,
127,Gates of Heaven,1978,https://boxd.it/1wBu,
128,The General,1926,https://boxd.it/29co,
129,The Godfather,1972,https://boxd.it/2aNK,
130,The Godfather Part II,1974,https://boxd.it/2aNq,
131,Goldfinger,1964,https://boxd.it/29SY,
132,Gone with the Wind,1939,https://boxd.it/29Fq,
133,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
134,GoodFellas,1990,https://boxd.it/29FA,
135,The Gospel According to St. Matthew,1964,https://boxd.it/1y7c,
136,Grand Illusion,1937,https://boxd.it/29Ei,
137,The Grapes of Wrath,1940,https://boxd.it/2a2u,
138,Grave of the Fireflies,1988,https://boxd.it/1RUM,
139,The Great Dictator,1940,https://boxd.it/29ic,
140,Great Expectations,1946,https://boxd.it/1OjS,
141,Greed,1924,https://boxd.it/28Pa,
142,The Grey Zone,2001,https://boxd.it/1ME0,
143,Groundhog Day,1993,https://boxd.it/2b3e,
144,The Hairdresser's Husband,1990,https://boxd.it/1T4o,
145,Harakiri,1962,https://boxd.it/1NTU,
146,A Hard Day's Night,1964,https://boxd.it/29LS,
147,Heart of Glass,1976,https://boxd.it/1rWi,
148,Hoop Dreams,1994,https://boxd.it/1Opc,
149,House of Games,1987,https://boxd.it/1tji,
150,Howards End,1992,https://boxd.it/20nW,
151,The Hustler,1961,https://boxd.it/298G,
152,Ikiru,1952,https://boxd.it/251c,
153,In a Lonely Place,1950,https://boxd.it/1JgO,
154,In Cold Blood,1967,https://boxd.it/1G62,
155,Inherit the Wind,1960,https://boxd.it/27SW,
156,It's a Wonderful Life,1946,https://boxd.it/28xA,
157,"Ivan the Terrible, Part I",1944,https://boxd.it/1XMO,
158,"Ivan the Terrible, Part II: The Boyars' Plot",1946,https://boxd.it/Vfc,
159,Jaws,1975,https://boxd.it/2a5e,
160,JFK,1991,https://boxd.it/29xm,
161,Johnny Guitar,1954,https://boxd.it/1tyW,
162,Jules and Jim,1962,https://boxd.it/28rM,
163,Juliet of the Spirits,1965,https://boxd.it/1FF6,
164,Killer of Sheep,1978,https://boxd.it/1rPc,
165,The Killing,1956,https://boxd.it/2aMi,
166,Kind Hearts and Coronets,1949,https://boxd.it/1SPe,
167,King Kong,1933,https://boxd.it/2aMM,
168,L'Atalante,1934,https://boxd.it/ThU,
169,L'Avventura,1960,https://boxd.it/23hs,
170,L.A. Confidential,1997,https://boxd.it/27oC,
171,La Dolce Vita,1960,https://boxd.it/2anC,
172,The Lady Eve,1941,https://boxd.it/25LY,
173,The Last Laugh,1924,https://boxd.it/22es,
174,The Last Picture Show,1971,https://boxd.it/1weg,
175,Last Tango in Paris,1972,https://boxd.it/28pw,
176,The Last Temptation of Christ,1988,https://boxd.it/1ULe,
177,Last Year at Marienbad,1961,https://boxd.it/24Qe,
178,Late Spring,1949,https://boxd.it/1DkK,
179,Laura,1944,https://boxd.it/27Oq,
180,Lawrence of Arabia,1962,https://boxd.it/2wRE,
181,Le Samouraï,1967,https://boxd.it/22ZI,
182,Leaving Las Vegas,1995,https://boxd.it/2amE,
183,Léolo,1992,https://boxd.it/1Uxw,
184,"Léon Morin, Priest",1961,https://boxd.it/5O0,
185,The Leopard,1963,https://boxd.it/296K,
186,The Life and Death of Colonel Blimp,1943,https://boxd.it/1wwk,
187,The Life of Oharu,1952,https://boxd.it/UFy,
188,The Long Goodbye,1973,https://boxd.it/281O,
189,Lost in Translation,2003,https://boxd.it/2b0E,
190,M,1931,https://boxd.it/29vq,
191,Magnolia,1999,https://boxd.it/2aze,
192,Make Way for Tomorrow,1937,https://boxd.it/10hC,
193,The Maltese Falcon,1941,https://boxd.it/29c4,
194,A Man Escaped,1956,https://boxd.it/1MzY,
195,The Man Who Laughs,1928,https://boxd.it/1rCi,
196,The Man Who Shot Liberty Valance,1962,https://boxd.it/1Tdg,
197,Man with a Movie Camera,1929,https://boxd.it/1u7s,
198,The Manchurian Candidate,1962,https://boxd.it/299Y,
199,Manhattan,1979,https://boxd.it/29Na,
200,The Marriage of Maria Braun,1979,https://boxd.it/29Su,
201,The Match Factory Girl,1990,https://boxd.it/20Je,
202,McCabe & Mrs. Miller,1971,https://boxd.it/1ooC,
203,Mean Streets,1973,https://boxd.it/2aSU,
204,Mephisto,1981,https://boxd.it/1SN8,
205,Metropolis,1927,https://boxd.it/71a,
206,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA,
207,Mon Oncle,1958,https://boxd.it/2apy,
208,Mon oncle Antoine,1971,https://boxd.it/2z9U,
209,My American Uncle,1980,https://boxd.it/13qC,
210,Monsieur Hire,1989,https://boxd.it/15q0,
211,Moolaadé,2004,https://boxd.it/13w6,
212,Moonstruck,1987,https://boxd.it/27zg,
213,Monsieur Hulot's Holiday,1953,https://boxd.it/29E8,
214,Mulholland Drive,2001,https://boxd.it/297o,
215,The Music Room,1958,https://boxd.it/29x2,
216,My Darling Clementine,1946,https://boxd.it/25LE,
217,My Dinner with Andre,1981,https://boxd.it/1vLe,
218,My Fair Lady,1964,https://boxd.it/1UBI,
219,My Man Godfrey,1936,https://boxd.it/1PTC,
220,My Neighbor Totoro,1988,https://boxd.it/20eA,
221,Mystery Train,1989,https://boxd.it/1Ub6,
222,Nanook of the North,1922,https://boxd.it/29Rc,
223,Nashville,1975,https://boxd.it/25GE,
224,The Navigator,1924,https://boxd.it/1hh0,
225,Network,1976,https://boxd.it/1VqG,
226,Night Moves,1975,https://boxd.it/1hRM,
227,The Night of the Hunter,1955,https://boxd.it/25HW,
228,Nights of Cabiria,1957,https://boxd.it/1F7e,
229,Nosferatu,1922,https://boxd.it/29TM,
230,Nosferatu the Vampyre,1979,https://boxd.it/21J0,
231,Notorious,1946,https://boxd.it/2aDK,
232,On the Waterfront,1954,https://boxd.it/29TC,
233,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,
234,The Only Son,1936,https://boxd.it/zX2,
235,Ordet,1955,https://boxd.it/Jiy,
236,Orpheus,1950,https://boxd.it/247o,
